movie_id,movie_name,year,genre,overview,director,cast
tt15354916,jawan,2023.0,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
tt15748830,jaane jaan,2023.0,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva"
tt11663228,jailer,2023.0,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff"
tt14993250,rocky aur rani kii prem kahaani,2023.0,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi"
tt15732324,omg 2,2023.0,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra"
tt18266472,sukhee,2023.0,Drama,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila"
tt18561736,the great indian family,2023.0,Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit"
tt3691740,the bfg,2016.0,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement"
tt12844910,pathaan,2023.0,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
tt15464390,mastaney,2023.0,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol"
tt1187043,3 idiots,2009.0,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
tt14914988,satyaprem ki katha,2023.0,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao"
tt3741834,lion,2016.0,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
tt13131610,bholaa shankar,2023.0,"Action, Drama",A doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu"
tt22188452,haddi,2023.0,"Crime, Drama","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba"
tt28568397,friday night plan,2023.0,"Comedy, Drama","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand"
tt21908676,neeyat,2023.0,"Crime, Mystery, Thriller","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi"
tt15441054,gadar 2,2023.0,"Action, Adventure, Drama","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Anil Sharma,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel"
tt27542289,por thozhil,2023.0,"Action, Crime, Thriller",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu"
tt0454876,life of pi,2012.0,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
tt0249371,asoka,2001.0,"Action, Biography, Drama",The epic tale of King Asoka's life is recounted.,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
tt0838221,the darjeeling limited,2007.0,"Adventure, Comedy, Drama","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan"
tt5074352,dangal,2016.0,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
tt8239946,tumbbad,2018.0,"Drama, Fantasy, Horror",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
tt15428134,dunki,2023.0,"Comedy, Drama",The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.,Rajkumar Hirani,"Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal"
tt24485052,sirf ek bandaa kaafi hai,2023.0,"Crime, Drama, Thriller",A common man with honesty and integrity can take on the system when he has truth on his side.,Apoorv Singh Karki,"Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey"
tt1954470,gangs of wasseypur,2012.0,"Action, Comedy, Crime","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
tt15433600,khufiya,2023.0,"Action, Biography, Crime","Krishna Mehra who is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",Vishal Bhardwaj,"Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon"
tt13751694,animal,2023.0,"Action, Crime, Drama","Animal is the story of a son's obsessive love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and ...                See full summary »",Sandeep Reddy Vanga,"Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor"
tt15891388,miss shetty mr polishetty,2023.0,"Comedy, Drama, Romance","Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.",Mahesh Babu P.,"Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata"
tt19755170,bawaal,2023.0,"Action, Drama, Romance",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,Nitesh Tiwari,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena"
tt6277462,brahmastra part one: shiva,2022.0,"Action, Adventure, Fantasy","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni"
tt20913276,ghoomer,2023.0,"Drama, Sport","Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent.",R. Balki,"Amitabh Bachchan, Shabana Azmi, Abhishek Bachchan, Saiyami Kher"
tt18411490,tiger 3,2023.0,"Action, Adventure, Thriller",Plot under wraps,Maneesh Sharma,"Salman Khan, Katrina Kaif"
tt8672856,tu jhoothi main makkaar,2023.0,"Comedy, Romance","Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.",Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor, Krrish Saini, Anubhav Singh Bassi"
tt15501640,drishyam 2,2022.0,"Crime, Drama, Mystery",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Abhishek Pathak,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
tt0083987,gandhi,1982.0,"Biography, Drama, History",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth"
tt2338151,pk,2014.0,"Comedy, Drama, Sci-Fi",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
tt1188996,my name is khan,2010.0,"Adventure, Drama, Romance",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
tt3405236,raees,2017.0,"Action, Crime, Drama",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,Rahul Dholakia,"Shah Rukh Khan, Jaideep Ahlawat, Sunny Leone, Nawazuddin Siddiqui"
tt26324936,rama banam,2023.0,"Action, Drama","Two siblings, who despite their difference in ideologies come together to fight for their common goal.",Sriwass,"Gopichand, Dimple Hayathi, Jagapathi Babu, Kushboo"
tt8108198,andhadhun,2018.0,"Crime, Mystery, Thriller","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan"
tt23036080,thank you for coming,2023.0,Comedy,"When five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love.",Karan Boolani,"Bhumi Pednekar, Dolly Ahluwalia, Shibani Bedi, Saloni Daini"
tt22086334,dream girl 2,2023.0,"Comedy, Drama, Romance","Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.",Raaj Shaandilyaa,"Paresh Rawal, Ananya Panday, Ayushmann Khurrana, Annu Kapoor"
