ID,movie_name,year,Timing(min),Rating(10),Votes,Genre,Language
tt0398974,dr. shaitan,1960.0,-,-,-,-,hindi
tt1702558,nadir khan,1968.0,-,-,-,-,urdu
tt0493437,apna sapna money money,2006.0,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi
tt0273405,aag aur sholay,1987.0,-,2.2,20,-,urdu
tt0049595,parivar,1956.0,-,7.4,21,"Comedy, Drama, Family            ",hindi
tt2930026,humraah: the traitor,2008.0,-,-,-,Thriller            ,hindi
tt6597160,jacqueline i am coming,2019.0,112 min,7.9,16,Drama            ,hindi
tt0829459,a mighty heart,2007.0,108 min,6.6,"26,885","Biography, Drama, History            ",urdu
tt0154875,midnight mail,1939.0,-,-,-,Action            ,hindi
tt0364628,raktalekha,1992.0,175 min,6.3,12,Drama            ,bengali
tt0364733,veedevadandi babu,1997.0,138 min,5.6,218,Comedy            ,telugu
tt8272296,a mayalu timi lai,2000.0,-,-,-,"Short, Music            ",nepali
tt5684550,da tang xuan zang,2016.0,90 min,6.2,379,"Biography, History            ",sanskrit
tt0250733,sikandar,1976.0,-,-,-,-,hindi
tt1407272,pehla qadam,1958.0,-,-,-,-,urdu
tt0318983,amman koil kizhakkaalae,1986.0,141 min,6.9,63,Drama            ,tamil
tt3148392,shatru,2013.0,-,4.5,11,"Action, Thriller            ",kannada
tt7836398,kamal khatri feat. simpal kharel: jaula relaima,2000.0,5 min,-,-,"Short, Music            ",nepali
tt0376353,zinda jala doonga,1988.0,-,-,-,Action            ,hindi
tt2302945,tukaram,2012.0,156 min,7.3,231,"Biography, Drama, History            ",marathi
tt6517874,ramante edenthottam,2017.0,122 min,6.0,459,"Comedy, Drama, Romance            ",malayalam
tt0150519,faslah,1974.0,-,-,-,"Crime, Drama, Romance            ",hindi
tt4820566,jawani ki ghabrahat,1991.0,-,-,-,Thriller            ,hindi
tt0318296,anbu chinnam,1990.0,-,-,-,-,tamil
tt12717866,naveed,2020.0,57 min,-,-,Documentary            ,urdu
tt12701012,ramudu bheemudu,1988.0,141 min,-,-,Drama            ,telugu
tt3466016,vaade kavali,2009.0,-,-,-,Romance            ,telugu
tt4654666,aakhri muqabla,1978.0,-,-,-,Action            ,hindi
tt1319563,dracula,1999.0,92 min,4.1,16,Horror            ,hindi
tt0398130,jahanara,1935.0,-,-,-,-,hindi
tt0065764,geet,1970.0,-,7.1,98,"Action, Crime, Musical            ",hindi
tt2707908,sej piya ki,1985.0,-,-,-,Drama            ,hindi
tt3509698,sati sita luv kush,1981.0,-,-,-,Drama            ,hindi
tt1575647,nuvvu vasthavani,2000.0,158 min,6.6,160,"Family, Romance            ",telugu
-,jam,2000.0,-,-,-,Drama            ,bengali
tt0357879,madadgaar,1987.0,-,5.4,11,"Action, Crime, Drama            ",hindi
tt1827428,hamra se biyah karba,2003.0,-,-,-,Drama            ,bhojpuri
tt0351354,milan ki raat,1967.0,-,4.4,7,"Drama, Romance            ",hindi
tt0213519,bhool bhulaiyan,1933.0,-,6.0,6,Comedy            ,hindi
tt0246905,saajan chale sasural,1996.0,134 min,6.0,"1,312","Comedy, Drama            ",hindi
tt1582519,khaleja,2010.0,170 min,7.6,"8,284","Action, Comedy, Fantasy            ",telugu
tt6682124,rogue,2000.0,134 min,5.1,118,"Action, Thriller            ",kannada
-,shaan,2000.0,166 min,-,-,Action            ,hindi
tt6882630,bhale bullodu,1995.0,-,-,-,Drama            ,telugu
tt0397478,jaal,1973.0,-,-,-,Musical            ,urdu
tt0464849,yuvakudu,2000.0,145 min,6.9,110,Romance            ,telugu
tt13276010,goolihatti,2015.0,156 min,-,-,Drama            ,kannada
tt0139306,hamara ghar,1950.0,-,-,-,-,hindi
tt10515954,olessia,2019.0,120 min,8.1,40,"Drama, Musical            ",malayalam
tt5159256,prohibited,2015.0,12 min,8.2,25,"Short, Drama, Thriller            ",urdu
tt1039989,sunday,2000.0,135 min,5.3,"2,592","Action, Comedy, Mystery            ",hindi
-,the destiny,2000.0,-,-,-,Biography            ,hindi
tt2761622,spy in goa,1966.0,-,-,-,"Action, Thriller            ",hindi
tt8622232,time to dance,2021.0,113 min,1.3,406,"Musical, Romance            ",hindi
tt0109922,gopi kishan,1994.0,161 min,5.5,805,"Action, Comedy, Drama            ",hindi
tt0187351,nigahen: nagina part ii,1989.0,140 min,5.2,286,"Drama, Family, Fantasy            ",hindi
tt5026204,dobara phir se,2016.0,127 min,6.6,427,Drama            ,urdu
tt2373666,pagaivan,1997.0,142 min,5.2,82,"Action, Comedy            ",tamil
tt1245732,red alert: the war within,2009.0,120 min,6.4,337,"Action, Drama, Thriller            ",hindi
tt0273409,adhikar,1938.0,132 min,-,-,-,hindi
tt4601930,hasta melapa,1969.0,-,-,-,Drama            ,gujarati
tt0242476,gangavatarana,1984.0,-,-,-,-,telugu
tt0449814,amnol sahara,1952.0,-,-,-,Drama            ,hindi
tt0442625,waqt ka shahenshah,1987.0,-,4.9,11,Action            ,hindi
tt3666258,coffee bloom,2015.0,90 min,5.9,101,Drama            ,hindi
tt0266712,laila majnu,2000.0,140 min,7.2,259,"Drama, Musical, Romance            ",oriya
tt3209556,vidiyum munn,2013.0,129 min,7.4,434,Thriller            ,tamil
tt6120732,olappeeppi,2016.0,121 min,7.6,120,Drama            ,malayalam
tt3681344,duniya ke rangeen raatein,1997.0,-,-,-,Drama            ,hindi
tt8243058,timi sanga,2018.0,-,6.1,11,Romance            ,nepali
tt0267796,oho naa pellanta,1996.0,-,6.2,19,Comedy            ,telugu
tt14189052,ivanu thumba orata,2009.0,-,-,-,Drama            ,kannada
tt0246433,apnapan,1977.0,133 min,6.5,73,"Drama, Romance            ",hindi
tt1606327,saath laakh,1957.0,125 min,-,-,"Musical, Romance            ",urdu
tt1502852,insaan,1966.0,-,-,-,-,urdu
tt7419244,takrav,2018.0,-,-,-,"Action, Romance            ",bhojpuri
tt2980794,highway,2000.0,133 min,7.6,"26,801","Crime, Drama, Romance            ",hindi
tt1524568,pratipaksha,1988.0,108 min,6.9,8,"Action, Drama            ",bengali
tt3521136,har raat naya khiladi,1990.0,-,-,-,Thriller            ,hindi
tt13057434,naanaage naanillai,2016.0,-,-,-,Drama            ,tamil
tt0243125,atma tarang,1937.0,-,-,-,-,hindi
tt2942618,dehorokkhi: the bodyguard,2013.0,167 min,6.8,402,Action            ,bengali
tt2777694,beru,2005.0,104 min,8.3,19,Drama            ,kannada
tt2613436,paigham,1988.0,168 min,-,-,Fantasy            ,hindi
-,akela,2000.0,-,-,-,Drama            ,hindi
tt13088566,the rubiks game,2014.0,30 min,-,-,"Short, Thriller            ",malayalam
tt9053354,anthervedam,2018.0,-,-,-,Thriller            ,telugu
tt13605848,enakkul oru kadhal,2009.0,97 min,-,-,Drama            ,tamil
tt1283527,samsara nauka,1989.0,-,-,-,-,kannada
tt0248294,patthe bapurao,1950.0,143 min,-,-,-,marathi
tt0352979,vida parayaanmathram,1988.0,-,-,-,-,malayalam
tt5278634,white,2000.0,149 min,3.0,471,Romance            ,malayalam
tt0283028,sayahnam,2000.0,-,7.0,10,-,malayalam
tt14045622,preetam,2021.0,-,9.0,15,Romance            ,marathi
tt3952870,britto,2014.0,124 min,7.5,12,Drama            ,bengali
tt0252229,amrutha geetham,1982.0,-,-,-,-,malayalam
tt4960730,pyar ka jigar,2003.0,-,-,-,Romance            ,hindi
tt0250747,stalin sivadas,1999.0,118 min,2.7,47,"Action, Thriller            ",malayalam
tt0352287,dheeran,1987.0,-,-,-,-,malayalam
tt0262446,gopichand jasoos,1982.0,150 min,5.9,123,"Comedy, Thriller            ",hindi
-,vikrant rona,2021.0,-,-,-,"Action, Adventure, Fantasy            ",kannada
tt0995840,joy: the real love story,2007.0,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi
tt0104098,dharavi,1992.0,120 min,7.1,282,"Crime, Drama            ",hindi
tt0280817,kamadhenu,1976.0,-,-,-,-,malayalam
tt1593777,sansarer itikatha,1983.0,-,-,-,Drama            ,bengali
tt10160924,shani arshad: adha adha,2000.0,5 min,-,-,"Short, Music            ",urdu
tt5771640,noces,2016.0,98 min,7.1,"1,360",Drama            ,oriya
-,tu heer main tera hero,2000.0,-,-,-,Comedy            ,urdu
tt1441323,madi veetu ezhai,1981.0,-,-,-,-,tamil
tt4007298,khoobsurat kali,2003.0,-,-,-,Thriller            ,hindi
tt0246877,puthayal,1997.0,144 min,5.9,51,-,tamil
tt0320701,urimai,1985.0,-,-,-,-,tamil
tt0266290,babai abbai,1984.0,117 min,6.3,102,"Comedy, Romance            ",telugu
