city,theatre_name,average_ticket_price,total_seats,no_screens,type,lat,lon,source_of_information
Ahmedabad,"AB Miniplex: Shivranjini Cross Road, Satellite",125.6190476,302,3,1,23.02494,72.52938,BookMyShow
Ahmedabad,Amber Cinema: Ahmedabad,100.8333333,763,1,0,23.03431,72.62002,BookMyShow
Ahmedabad,Anupam Cinema: Ahmedabad,125.8333333,781,1,0,23.00656,72.61333,BookMyShow
Ahmedabad,"Apsara Cinema, Behrampura",149.09491512148148,1117,1,0,23.0039742,72.597468,MediaAnt
Ahmedabad,"Aradhana Cinema, Behrampura",149.09491512148148,455,1,0,23.00396,72.5975195,MediaAnt
Ahmedabad,Carnival: Himalaya Mall,189.0509259,1110,5,1,23.04708,72.53093,"BookMyShow, MediaAnt"
Ahmedabad,"Cinemax: Dev Arc, Ahmedabad",176.4351852,1047,4,1,23.02573,72.50776,BookMyShow
Ahmedabad,"Cinemax: Red Carpet, Ahmedabad",152.0524691,991,4,1,23.07968,72.5277,BookMyShow
Ahmedabad,"Cinemax: Shiv, Ahmedabad",176.2777778,637,3,1,23.03188,72.57103,BookMyShow
Ahmedabad,"Cinepolis: Alpha One Mall, Ahmedabad",197.9494949,1136,6,1,23.03952,72.53199,"BookMyShow, MediaAnt"
Ahmedabad,City Gold Satellite: Ahmedabad,156.1458333,371,4,1,23.01568,72.52992,BookMyShow
Ahmedabad,City Gold: Ashram Road,159.9814815,1313,5,1,23.0319,72.56999,"BookMyShow, MediaAnt"
Ahmedabad,City Gold: Bapunagar,101.1666667,419,4,1,23.03743,72.61513,"BookMyShow, MediaAnt"
Ahmedabad,City Gold: Bopal,152.3571429,462,4,1,23.02869,72.47856,BookMyShow
Ahmedabad,City Gold: Motera,111.5,728,2,1,23.09203,72.59319,BookMyShow
Ahmedabad,Devi Multiplex: Naroda,94.77777778,804,3,1,23.07253,72.64998,"BookMyShow, MediaAnt"
Ahmedabad,"Galaxy, Station Road",149.09491512148148,909,1,0,23.0748037,72.6554437,MediaAnt
Ahmedabad,"Hanjar Cinema, Gandhi Ashram",149.09491512148148,995,1,0,23.0263983,72.6040875,MediaAnt
Ahmedabad,K Sera Sera: SG Highway,155.2083333,152,2,1,23.02873,72.50858,BookMyShow
Ahmedabad,"Mira Cinema, Bhairavnath Road",149.09491512148148,1028,1,0,22.9972166,72.5927863,MediaAnt
Ahmedabad,Miraj Cinemas Cine Pride: Krishna Nagar,105.5,829,4,1,23.05369,72.64335,BookMyShow
Ahmedabad,"Miraj Cinemas: Vitthal Plaza, New Naroda",150.4583333,372,3,1,23.07891,72.67304,BookMyShow
Ahmedabad,Miraj City Pulse: Ahmedabad,158.7590909,936,4,1,23.01467,72.5964,BookMyShow
Ahmedabad,"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",151.2708333,404,4,1,23.02655,72.50996,"BookMyShow, MediaAnt"
Ahmedabad,"PVR: Acropolis, Ahmedabad",232.1338384,1343,6,1,23.04884,72.51621,BookMyShow
Ahmedabad,"PVR: Arved Transcube, Ahmedabad",167.8217593,1404,7,1,23.0685,72.57602,"BookMyShow, MediaAnt"
Ahmedabad,"PVR: Motera, Ahmedabad",154.3333333,1102,4,1,23.10273,72.59521,"BookMyShow, Internet Research"
Ahmedabad,Rajhans Cinemas: Nikol,114.5055556,741,3,1,23.05089,72.66758,BookMyShow
Ahmedabad,Rajhans Cinemas: Satadhar,124.2296296,1080,4,1,23.06663,72.53127,"BookMyShow, Internet Research"
Ahmedabad,Revolution Multiplex: Ahmedabad,148.75,423,4,1,22.99858,72.63548,BookMyShow
Ahmedabad,"Sapna Cinema, Juhapura",149.09491512148148,1401,1,0,22.9855719,72.500771,MediaAnt
Ahmedabad,"Shital Cinema, Gomtipur",149.09491512148148,350,1,0,23.0217999,72.6105388,MediaAnt
Ahmedabad,"Shree Balaji Agora Mall, Chandkheda",149.09491512148148,802,4,1,23.1144241,72.5679062,MediaAnt
Ahmedabad,"Time Cinema: CG Road, Ahmedabad",176.4583333,372,4,1,23.02435,72.55651,BookMyShow
Ahmedabad,"Usha Talkies, Gomtipur",149.09491512148148,550,1,0,23.017995,72.6152555,MediaAnt
Ahmedabad,Wide Angle: Ahmedabad,166.1531987,1400,5,1,23.02457,72.50745,"BookMyShow, Internet Research"
Bangalore,"7D Mastii: Element Mall, Nagwara",150.0,18,1,0,13.04541,77.6266,BookMyShow
Bangalore,"7D Mastiii: Forum Value Mall, Whitefield",150.0,16,1,0,12.95972,77.74778,BookMyShow
Bangalore,"7D Voyage: Central Mall, Bellandur",180.0,8,1,0,12.9264,77.67533,BookMyShow
Bangalore,7D VR Voyage: Garuda Mall,190.0,8,1,0,12.97004,77.60999,BookMyShow
Bangalore,Abhinay Theatre: Gandhi Nagar,130.0,1019,1,0,12.97354,77.57755,"BookMyShow, MediaAnt"
Bangalore,Akash Cinemas (Rajeshwari Theatre): Laggere,125.0,780,1,0,13.01481,77.51611,"BookMyShow, MediaAnt"
Bangalore,Amruth Theatre: Lingarajapuram,127.5,926,1,0,13.01244,77.62621,"BookMyShow, MediaAnt"
Bangalore,"Anand Theatre, No-268",183.50891304903845,947,1,0,13.011335,77.609965,MediaAnt
Bangalore,Anjan Digital 4K A/C Cinema: Magadi Road,125.0,990,1,0,12.97517,77.55891,"BookMyShow, MediaAnt"
Bangalore,Anupama Theatre: Gandhinagar,106.5,1032,1,0,12.97616,77.5756,"BookMyShow, MediaAnt"
Bangalore,Aruna Theatre: Srirampuram,109.0,936,1,0,12.98679,77.56722,"BookMyShow, MediaAnt"
Bangalore,"Ascendas Park Square Mall, EPIP",183.50891304903845,779,4,1,12.987032,77.736366,MediaAnt
Bangalore,Balaji Digital 2K Cinema: Tavarekere,120.0,880,1,0,12.92554,77.60781,"BookMyShow, MediaAnt"
Bangalore,"Bharathi Chitra Mandira, Dasarahalli",183.50891304903845,1070,1,0,13.0415115,77.5175238,MediaAnt
Bangalore,Bhumika Digital 2K Cinema: Gandhinagar,135.0,894,1,0,12.97382,77.57964,"BookMyShow, MediaAnt"
Bangalore,Carnival: Rockline Mall,179.4444444,1011,4,1,13.04075,77.51825,"BookMyShow, MediaAnt"
Bangalore,Cauvery Theatre: Sankey Road,123.3333333,1210,1,0,13.00256,77.58328,"BookMyShow, MediaAnt"
Bangalore,Chandrodaya Digital 2K Cinema: Vidyapeeta Circle,110.0,960,1,0,12.93546,77.56129,BookMyShow
Bangalore,Cinepolis: Binnypet Mall,220.537415,1580,8,1,12.96579,77.56202,"BookMyShow, MediaAnt"
Bangalore,"Cinepolis: Orion East Mall, Banaswadi",244.5454545,1097,5,1,13.00121,77.63265,"BookMyShow, MediaAnt"
Bangalore,Cinepolis: Royal Meenakshi Mall,271.0,1344,7,1,12.876,77.59582,"BookMyShow, MediaAnt"
Bangalore,Cinesquare Savitha Theatre: Malleshwaram,133.3333333,350,1,0,12.99296,77.57113,"BookMyShow, Internet Research"
Bangalore,"Deepak Theatre, Mahatma Gandhi Road",183.50891304903845,525,1,0,12.997947,77.5405319,MediaAnt
Bangalore,Eshwari Digital 2K Cinema: Banashankari,108.3333333,918,1,0,12.92359,77.55344,"BookMyShow, MediaAnt"
Bangalore,Everest Digital 2K Cinema: Frazer Town,125.0,546,1,0,13.00013,77.61844,"BookMyShow, MediaAnt"
Bangalore,"Fame Shankarnag Chitramandira, Mahatma Gandhi Road",183.50891304903845,615,1,0,12.9743036,77.6098151,MediaAnt
Bangalore,"Fun Cinemas: Sigma Mall, Bengaluru",180.3571429,985,3,1,12.9882,77.59477,"BookMyShow, MediaAnt"
Bangalore,Galaxy Paradise Screen 1: Bommanahalli Hosur Rd,160.0,100,1,0,12.89108,77.62648,"BookMyShow, Internet Research"
Bangalore,Galaxy Paradise: Screen 2,160.0,120,1,0,12.89108,77.62648,"BookMyShow, Internet Research"
Bangalore,"Ganesh Theatre, Attur",183.50891304903845,713,1,0,13.1001929,77.5872728,MediaAnt
Bangalore,"Gopalan Cinemas: Arcade Mall, Mysore Road",250.3846154,1019,3,1,12.93531,77.51761,BookMyShow
Bangalore,Gopalan Cinemas: Bannerghatta Road,261.1805556,852,3,1,12.91444,77.5994,"BookMyShow, MediaAnt"
Bangalore,Gopalan Grand Mall: Old Madras Road,256.1111111,1030,4,1,12.99336,77.66397,"BookMyShow, MediaAnt"
Bangalore,"Gopalan Miniplex: Signature Mall, Old Madras Road",260.3846154,157,3,1,12.99299,77.66188,BookMyShow
Bangalore,Goverdhan Theatre: Yeshwantpur,90.0,1064,1,0,13.02163,77.55132,"BookMyShow, MediaAnt"
Bangalore,"Guru Siddeshwara Chitra Mandira, Anjanapura",183.50891304903845,615,1,0,12.8728904,77.5575757,MediaAnt
Bangalore,HMT Digital 4K Cinema: Jalahalli,150.0,874,1,0,13.0495,77.5439,BookMyShow
Bangalore,Innovative Multiplex: Marathahalli,180.0,1406,4,1,12.9519,77.69905,BookMyShow
Bangalore,"INOX Lido: Off MG Road, Ulsoor",338.4166667,1259,5,1,12.97324,77.62128,BookMyShow
Bangalore,INOX: Brookefield Mall,270.9259259,338,3,1,12.96623,77.71794,"BookMyShow, MediaAnt"
Bangalore,"INOX: Central, JP Nagar, Mantri Junction",343.0347222,1118,4,1,12.9164,77.59241,"BookMyShow, MediaAnt"
Bangalore,"INOX: Forum Neighbourhood Mall, Whitefield",301.3636364,725,5,1,12.9595,77.74789,BookMyShow
Bangalore,"INOX: Garuda Mall, Magrath Road",337.1212121,1103,5,1,12.97009,77.60943,"BookMyShow, MediaAnt"
Bangalore,"INOX: Garuda Swagath Mall, Jayanagar",285.5555556,793,3,1,12.92906,77.59123,"BookMyShow, MediaAnt"
Bangalore,"INOX: Mantri Square, Malleshwaram",399.0611111,1497,6,1,12.99216,77.5703,"BookMyShow, MediaAnt"
Bangalore,Kamakya Cinema: Banashankari,100.0,706,1,0,12.92331,77.55334,"BookMyShow, MediaAnt"
Bangalore,Kapali Theatre: Gandhi Nagar,100.0,1475,1,0,12.97791,77.57578,"BookMyShow, MediaAnt"
Bangalore,Keshava Theatre -,183.50891304903845,809,1,0,13.0282203,77.5538235,Internet Research
Bangalore,Lakshmi Digital 4K Cinema: Tavarekere,132.5,900,1,0,12.92524,77.60775,"BookMyShow, MediaAnt"
Bangalore,"Lakshmi Theatre, Dharmaram College",183.50891304903845,900,1,0,12.9362,77.6028377,MediaAnt
Bangalore,"Lavanya, Sivan Chetty Gardens",183.50891304903845,786,1,0,12.9848012,77.6148355,MediaAnt
Bangalore,Maheshwari Digital 4K Cinema: Bannerghatta Road,183.50891304903845,0,0,1,12.92339,77.59894,BookMyShow
Bangalore,Manasa Digital 4K Dolby Atmos: Konanakunte,175.0,640,1,0,12.89064,77.5622,"BookMyShow, MediaAnt"
Bangalore,"Manasa Theatre, Doddakallasandra",183.50891304903845,640,1,0,12.8906129,77.5622187,MediaAnt
Bangalore,Menaka Talkies: Gandhi Nagar,130.0,971,1,0,12.97314,77.57934,"BookMyShow, MediaAnt"
Bangalore,"Mohan Theatre, Magadi Main Road",183.50891304903845,956,1,0,12.9987083,77.5035393,MediaAnt
Bangalore,Movie Land,183.50891304903845,648,1,0,12.9788182,77.5755948,Internet Research
Bangalore,Mukunda Dolby Atmos: M S Nagar,159.375,814,1,0,13.00325,77.63585,BookMyShow
Bangalore,Murali Gokula Digital 4K Cinema: Mathikere,118.0,900,1,0,13.03842,77.5526,"BookMyShow, MediaAnt"
Bangalore,"N Lakshmi Chitra Mandira, B G Road",183.50891304903845,850,1,0,12.860183,77.589458,MediaAnt
Bangalore,"Nalanda Theatre, Mysore Road",183.50891304903845,1090,1,0,12.9605832,77.5578493,MediaAnt
Bangalore,"Narendra Talkies, Arabic College",183.50891304903845,500,1,0,13.026733,77.62075,MediaAnt
Bangalore,Nartaki Theatre: Gandhi Nagar,111.5,1150,1,0,12.9743,77.57619,"BookMyShow, Internet Research"
Bangalore,Nataraj Theatre: Sheshadripuram,183.50891304903845,1150,1,0,12.9897863,77.5729823,Internet Research
Bangalore,Navrang Theatre: Rajaji Nagar,90.0,990,1,0,12.99784,77.5528,"BookMyShow, MediaAnt"
Bangalore,"Padma Theatre, Amruthahalli",183.50891304903845,600,1,0,13.0687241,77.6026388,MediaAnt
Bangalore,Parimala Digital 2K Cinema: K.R.Market,183.50891304903845,1112,1,0,12.963107,77.57705,Internet Research
Bangalore,Poornima Theatre: J.C. Road,115.0,934,1,0,12.96096,77.58742,"BookMyShow, MediaAnt"
Bangalore,Pradeep Theatre: K.R.Market,183.50891304903845,305,1,0,12.963106,77.577049,Internet Research
Bangalore,"Prasanna Theatre, Magadi Road",183.50891304903845,1100,1,0,12.9740859,77.5520529,MediaAnt
Bangalore,Pushpanjali A/C Theatre: B.N. Pura,125.0,999,1,0,12.99809,77.67521,"BookMyShow, MediaAnt"
Bangalore,"Pushpanjali Talkies, Dinnur Main Road",183.50891304903845,1330,1,0,13.0218949,77.6031292,MediaAnt
Bangalore,"PVR: Arena Mahadevapura, Bengaluru",233.5353535,1084,6,1,12.97991,77.69319,"BookMyShow, MediaAnt"
Bangalore,"PVR: Forum Gold, Bengaluru",825.0,32,1,0,12.93463,77.6113,BookMyShow
Bangalore,"PVR: Forum, Bengaluru",286.9333333,1590,10,1,12.93463,77.6113,"BookMyShow, MediaAnt"
Bangalore,"PVR: IMAX, VR Bengaluru, Whitefield",292.0,292,1,0,12.99639,77.69531,BookMyShow
Bangalore,"PVR: Market City (4DX), Bengaluru",450.0,100,1,0,12.99725,77.69573,BookMyShow
Bangalore,"PVR: Market City, Bengaluru",306.2100122,1106,9,1,12.99725,77.69573,BookMyShow
Bangalore,"PVR: MSR Elements Mall, Bengaluru",288.0883838,1383,7,1,13.04516,77.62658,"BookMyShow, MediaAnt"
Bangalore,"PVR: Orion Gold, Rajajinagar",806.2962963,144,3,0,13.011,77.55509,BookMyShow
Bangalore,"PVR: Orion, Rajajinagar",285.3444444,2714,8,1,13.011,77.55509,"BookMyShow, MediaAnt"
Bangalore,"PVR: Pepsi IMAX, Koramangala",365.0,346,1,0,12.93455,77.61109,BookMyShow
Bangalore,"PVR: Soul Spirit Bellandur, Bengaluru",290.8585859,1084,6,1,12.92676,77.67528,"BookMyShow, MediaAnt"
Bangalore,"PVR: Vaishnavi Sapphire Mall, Bengaluru",222.1363636,1058,6,1,13.02414,77.54897,BookMyShow
Bangalore,"PVR: VR Gold, Bengaluru",697.025,1,4,1,12.99651,77.69526,BookMyShow
Bangalore,"PVR: VR, Bengaluru",257.2,932,5,1,12.99651,77.69526,BookMyShow
Bangalore,Radhakrishna Theatre: R.T. Nagar,125.0,921,1,0,13.01337,77.59387,BookMyShow
Bangalore,"Raja Murali Theatre, Kodigehalli Sahakar Nagar(post)",183.50891304903845,558,1,0,13.0605001,77.5768534,MediaAnt
Bangalore,Rajarajeshwari Theatre: Nagarbhavi Circle,90.0,1080,1,0,12.95695,77.50206,"BookMyShow, MediaAnt"
Bangalore,"Ranganatha Theatre, Mysore Road",183.50891304903845,410,1,0,12.9632206,77.5663842,MediaAnt
Bangalore,Ravi Digital 2K Cinema: Ejipura,109.0,820,1,0,12.95124,77.62217,"BookMyShow, Internet Research"
Bangalore,Rex Theatre: Brigade Road,185.0,707,1,0,12.97262,77.60663,BookMyShow
Bangalore,"Robin Theatre, Chudenapura",183.50891304903845,850,1,0,12.9160026,77.479051,MediaAnt
Bangalore,Sampige Digital 2k Cinema: Malleshwaram,150.0,1129,1,0,12.99307,77.5711,"BookMyShow, MediaAnt"
Bangalore,Sandeep Theatre: Shivaji Nagar,90.0,309,1,0,12.98161,77.60294,"BookMyShow, MediaAnt"
Bangalore,Sandhya Digital 4K Projection Dolby Atmos: Madiwal,125.0,720,1,0,12.92101,77.61794,"BookMyShow, MediaAnt"
Bangalore,Sangeet Theatre: Shivaji Nagar,115.0,860,1,0,12.98161,77.60294,"BookMyShow, MediaAnt"
Bangalore,Santosh Theatre: Gandhinagar,106.0,680,1,0,12.97484,77.57638,"BookMyShow, MediaAnt"
Bangalore,Sapna Theatre: Gandhi Nagar,95.0,345,1,0,12.9743,77.57619,"BookMyShow, MediaAnt"
Bangalore,Sharada Cinemas A/C: S.P Road,109.0,680,1,0,12.96528,77.58471,"BookMyShow, MediaAnt"
Bangalore,"Shobha Talkies, Bhabuji Nagar",183.50891304903845,1000,1,0,12.9574781,77.543303,MediaAnt
Bangalore,"Soundarya Mahal, Antharahalli",183.50891304903845,726,1,0,12.9032569,77.5861215,MediaAnt
Bangalore,Sri Balaji Digital 2K Cinema: Viveknagar,175.0,415,1,0,12.95686,77.61944,"BookMyShow, MediaAnt"
Bangalore,Sri Kokila Theatre: Hosakerehalli,80.0,650,1,0,12.93363,77.5373,"BookMyShow, Internet Research"
Bangalore,Sri Krishna Digital 2K Cinema: Bommanahalli,100.0,800,1,0,12.90535,77.62936,"BookMyShow, MediaAnt"
Bangalore,Sri Krishna Theatre: KR Puram,100.0,979,1,0,13.00889,77.69893,"BookMyShow, MediaAnt"
Bangalore,Sri Lakshmi Theatre: Ramamurthy Nagar,100.0,618,1,0,13.0103,77.67387,"BookMyShow, MediaAnt"
Bangalore,"Sri Madeswara Chitra Mandira, Bangalore",183.50891304903845,1250,1,0,12.9156484,77.5633059,MediaAnt
Bangalore,"Sri Maruthi Theatre, Rajagopal Nagar",183.50891304903845,1119,1,0,13.0122659,77.5098421,MediaAnt
Bangalore,Sri Renuka Prasanna Theatre: J P Nagar,104.0,1078,1,0,12.91506,77.58783,"BookMyShow, Internet Research"
Bangalore,"Sri Siddalingeswara Chitra Mandira, Bangalore",183.50891304903845,940,1,0,12.9037028,77.5804877,MediaAnt
Bangalore,Sri Srinivasa Theatre: Padmanabanagara,110.0,725,1,0,12.90898,77.55804,"BookMyShow, Internet Research"
Bangalore,Sri Vajreshwari Theatre: Ullal,110.0,844,1,0,12.94238,77.48814,"BookMyShow, MediaAnt"
Bangalore,Sri Venkateshwara Theatre: Kengeri,100.0,500,1,0,12.90644,77.48277,"BookMyShow, MediaAnt"
Bangalore,Sri Vinayaka A/C Digital 2K Cinemas: Varthur,138.3333333,531,1,0,12.93572,77.74443,"BookMyShow, Internet Research"
Bangalore,Sri Vinayaka Digital 2K Cinema (D.J.Halli),109.0,850,1,0,13.0144,77.60564,"BookMyShow, MediaAnt"
Bangalore,"Srinivasa Chitra Mandira, Kadugodi",183.50891304903845,625,1,0,12.9885232,77.7660591,MediaAnt
